1,2,1
1,6,3
2,1,1
2,3,1
3,2,1
3,4,1
4,5,2
5,4,1
5,11,2
6,1,3
6,7,1
6,11,4
7,6,1
7,8,1
8,7,1
8,9,1
9,10,1
10,11,1
11,5,1
11,6,4
11,14,7
12,4,1
13,14,2
14,11,5
14,12,1
14,13,2
14,15,12
14,17,8
15,14,7
15,8,1
15,16,4
16,14,3
16,17,1
17,14,9
17,20,1
17,21,6
17,22,2
18,19,1
19,18,1
19,20,1
20,19,1
20,17,1
21,17,6
21,25,5
21,26,1
22,17,2
22,23,2
23,22,2
23,30,2
24,32,2
24,25,2
25,21,5
25,24,2
25,29,3
26,21,1
26,30,1
27,30,1
27,28,1
28,27,1
28,31,1
29,25,3
29,36,1
29,37,2
30,26,1
30,23,2
30,27,1
30,43,4
31,28,1
31,40,2
31,41,1
31,44,1
32,24,2
32,33,2
33,32,2
33,34,2
34,33,2
34,35,2
35,34,2
35,47,2
36,29,1
36,37,1
36,42,1
36,46,1
37,29,2
37,36,1
37,38,3
38,37,3
38,43,2
38,39,1
39,38,1
39,40,2
39,43,1
40,39,2
40,31,2
41,31,1
41,51,1
42,36,1
42,45,1
43,30,4
43,38,2
43,39,1
43,48,7
44,31,1
44,49,1
45,42,1
45,48,1
46,36,1
46,48,1
47,35,2
47,48,2
48,47,2
48,46,1
48,45,1
48,43,7
48,49,5
49,48,5
49,44,1
49,50,4
50,49,4
50,51,4
51,50,4
51,41,1
